region,stream_code,mean_harvest,jan_mar_frac,expected_jan_mar,partial_actual_jan_mar,ratio,flag
Coastal,305,7,0,0,0,NA,FALSE
Coastal,311,19.75,0,0,0,NA,FALSE
Coastal,315,9192.833333333334,0,0,0,NA,FALSE
Coastal,321,29.25,0.3504273504273504,10.25,0,0,TRUE
Coastal,323,50.8,0,0,0,NA,FALSE
Coastal,325,36.2,0,0,0,NA,FALSE
Coastal,329,2501.1666666666665,7.996268408076231e-4,1.9999999999999998,0,0,TRUE
Coastal,333,53,0,0,0,NA,FALSE
Coastal,335,136.83333333333334,0,0,0,NA,FALSE
Coastal,337,394.6666666666667,0,0,0,NA,FALSE
Coastal,339,296.1666666666667,0,0,0,NA,FALSE
Coastal,342,48.833333333333336,0,0,0,NA,FALSE
Coastal,345,30.75,0,0,0,NA,FALSE
Coastal,348,235.33333333333334,0.007790368271954674,1.8333333333333333,0,0,TRUE
Coastal,350,769.8333333333334,0,0,0,NA,FALSE
Coastal,352,9.333333333333334,0,0,0,NA,FALSE
Coastal,355,77,0,0,0,NA,FALSE
Coastal,358,2336.5,8.559811684142949e-4,2,0,0,TRUE
Coastal,367,106,0,0,0,NA,FALSE
Coastal,371,38.25,0.0915032679738562,3.4999999999999996,0,0,TRUE
Coastal,375,3357,0.002383080131069407,8,0,0,TRUE
Coastal,379,1923.3333333333333,0,0,0,NA,FALSE
Coastal,382,354,0,0,0,NA,FALSE
Coastal,384,57.5,0,0,0,NA,FALSE
Coastal,392,109.4,0,0,0,NA,FALSE
Coastal,394,136.66666666666666,0,0,0,NA,FALSE
Coastal,396,157.33333333333334,0,0,0,NA,FALSE
Coastal,398,296.5,0,0,0,NA,FALSE
Coastal,400,26.666666666666668,0,0,0,NA,FALSE
Coastal,402,66.16666666666667,0,0,0,NA,FALSE
Coastal,404,894.1666666666666,0,0,0,NA,FALSE
Coastal,406,2045.8333333333333,0.004969450101832994,10.166666666666666,40,3.934426229508197,TRUE
Coastal,408,35,0,0,0,NA,FALSE
Coastal,410,67.16666666666667,0,0,0,NA,FALSE
Coastal,424,2393,0.0027162557459256163,6.5,0,0,TRUE
Columbia - Lower,501,19.5,0,0,0,NA,FALSE
Columbia - Lower,507,34.8,0,0,0,NA,FALSE
Columbia - Lower,515,24.4,0,0,0,NA,FALSE
Columbia - Lower,517,116.2,0,0,0,NA,FALSE
Columbia - Lower,519,15648.833333333334,9.585379101743474e-4,15.000000000000002,0,0,TRUE
Columbia - Lower,521,29218.5,0.023957424234645856,700,146,0.20857142857142857,TRUE
Columbia - Lower,555,285.6666666666667,0,0,0,NA,FALSE
Columbia - Lower,559,1385.6666666666667,0,0,0,NA,FALSE
Columbia - Lower,561,5508.5,0.008108680524038608,44.66666666666667,32,0.7164179104477612,FALSE
Columbia - Lower,563,59,0,0,0,NA,FALSE
Columbia - Lower,565,189.33333333333334,0,0,0,NA,FALSE
Columbia - Lower,566,211.33333333333334,0,0,0,NA,FALSE
Columbia - Lower,569,10.2,0,0,0,NA,FALSE
Columbia - Lower,571,2581.6666666666665,0,0,0,NA,FALSE
Columbia - Lower,573,42,0,0,0,NA,FALSE
Columbia - Lower,575,635.8333333333334,0,0,0,NA,FALSE
Columbia - Lower,580,12.333333333333334,0,0,0,NA,FALSE
Columbia - Lower,584,63,0,0,0,NA,FALSE
Columbia - Lower,589,31,0,0,0,NA,FALSE
Columbia - Lower,595,121.8,0,0,0,NA,FALSE
Columbia - Lower,602,71.4,0,0,0,NA,FALSE
Columbia - Lower,603,783.8333333333334,0.005103125664469487,4,0,0,TRUE
Columbia - Lower,604,1337,0.004238344552480678,5.666666666666667,13,2.2941176470588234,FALSE
Columbia - Lower,609,48.4,0,0,0,NA,FALSE
Columbia - Lower,611,887,0,0,0,NA,FALSE
Columbia - Lower,615,6193.166666666667,0.0067278452057375066,41.66666666666667,65,1.5599999999999998,FALSE
Columbia - Lower,667,353.3333333333333,0,0,0,NA,FALSE
Columbia - Lower,668,49.666666666666664,0,0,0,NA,FALSE
Columbia - Middle,508,108.5,0,0,0,NA,FALSE
Columbia - Middle,527,7643.666666666667,7.849635864114081e-4,6,0,0,TRUE
Columbia - Middle,529,2102.1666666666665,0,0,14,NA,FALSE
Columbia - Middle,531,771.6666666666666,0,0,0,NA,FALSE
Columbia - Middle,607,6873,0.016877637130801686,115.99999999999999,55,0.4741379310344828,FALSE
Columbia - Middle,608,1121,0.0032708890871245913,3.666666666666667,0,0,TRUE
Columbia - Middle,618,7269.833333333333,0,0,27,NA,FALSE
Columbia - Middle,677,156.33333333333334,0,0,0,NA,FALSE
Columbia - Middle,680,3154.3333333333335,0,0,0,NA,FALSE
Columbia - Snake,640,616.25,0,0,0,NA,FALSE
Columbia - Snake,642,22.8,0,0,0,NA,FALSE
Columbia - Snake,644,1093.8333333333333,0,0,0,NA,FALSE
Columbia - Snake,646,27.5,0,0,0,NA,FALSE
Columbia - Snake,648,1369.6666666666667,0,0,0,NA,FALSE
Columbia - Snake,650,356.6666666666667,0,0,0,NA,FALSE
Columbia - Upper,533,278,0.008393285371702638,2.3333333333333335,0,0,TRUE
Columbia - Upper,534,1134.8333333333333,0,0,0,NA,FALSE
Columbia - Upper,535,10098.5,0,0,54,NA,FALSE
Columbia - Upper,536,9370.833333333334,0,0,0,NA,FALSE
Columbia - Upper,537,3410,0,0,0,NA,FALSE
Columbia - Upper,539,663,0,0,0,NA,FALSE
Columbia - Upper,541,2989.4,0,0,0,NA,FALSE
Columbia - Upper,543,7069.333333333333,0,0,0,NA,FALSE
Columbia - Upper,545,41117,1.540319900122415e-4,6.333333333333333,0,0,TRUE
Columbia - Upper,547,84.4,0,0,0,NA,FALSE
Columbia - Upper,549,38.5,0,0,0,NA,FALSE
Columbia - Upper,586,278.8333333333333,0,0,0,NA,FALSE
Columbia - Upper,621,25.666666666666668,0,0,0,NA,FALSE
Columbia - Upper,627,156.5,0,0,0,NA,FALSE
Columbia - Upper,629,18,0,0,0,NA,FALSE
Columbia - Upper,670,20060.6,0,0,0,NA,FALSE
Columbia - Upper,672,1146,0,0,0,NA,FALSE
Columbia - Upper,674,177.2,0,0,0,NA,FALSE
Columbia - Upper,690,461.1666666666667,0,0,0,NA,FALSE
Puget Sound,710,24.166666666666668,0,0,0,NA,FALSE
Puget Sound,714,45,0,0,0,NA,FALSE
Puget Sound,718,29,0,0,0,NA,FALSE
Puget Sound,724,40.5,0,0,0,NA,FALSE
Puget Sound,726,35.2,0,0,0,NA,FALSE
Puget Sound,728,31,0,0,0,NA,FALSE
Puget Sound,732,27.5,0,0,0,NA,FALSE
Puget Sound,736,123.5,0,0,0,NA,FALSE
Puget Sound,738,1218.6,0,0,0,NA,FALSE
Puget Sound,746,19686,0,0,0,NA,FALSE
Puget Sound,754,187,0,0,0,NA,FALSE
Puget Sound,762,483.8333333333333,0,0,0,NA,FALSE
Puget Sound,764,197.16666666666666,0,0,0,NA,FALSE
Puget Sound,766,41.333333333333336,0,0,0,NA,FALSE
Puget Sound,768,21,0,0,0,NA,FALSE
Puget Sound,770,46.333333333333336,0.39568345323741005,18.333333333333332,0,0,TRUE
Puget Sound,778,4936.5,0,0,0,NA,FALSE
Puget Sound,786,4747.333333333333,4.212891447830361e-4,1.9999999999999998,0,0,TRUE
Puget Sound,788,480.1666666666667,0,0,0,NA,FALSE
Puget Sound,790,505.4,0,0,0,NA,FALSE
Puget Sound,792,992.6,0,0,0,NA,FALSE
Puget Sound,794,2620.8,0,0,0,NA,FALSE
Puget Sound,802,2118,0,0,0,NA,FALSE
Puget Sound,804,26539.166666666668,8.792036926555092e-5,2.3333333333333335,0,0,TRUE
Puget Sound,810,16.75,0,0,0,NA,FALSE
Puget Sound,812,3491,0.0030554759858684236,10.666666666666666,0,0,TRUE
Puget Sound,814,96,0,0,0,NA,FALSE
Puget Sound,816,9631.833333333334,0,0,0,NA,FALSE
Puget Sound,818,40.25,0,0,0,NA,FALSE
Puget Sound,824,87.2,0,0,0,NA,FALSE
Puget Sound,825,6959,3.831968194663984e-4,2.6666666666666665,0,0,TRUE
Puget Sound,826,2522.1666666666665,0,0,0,NA,FALSE
Puget Sound,830,18812.166666666668,0,0,0,NA,FALSE
Puget Sound,832,17.25,0,0,0,NA,FALSE
Puget Sound,834,99,0,0,0,NA,FALSE
Puget Sound,840,131,0,0,0,NA,FALSE
Puget Sound,844,1421.1666666666667,0,0,0,NA,FALSE
Puget Sound,850,11523,0,0,0,NA,FALSE
Puget Sound,852,106.66666666666667,0,0,0,NA,FALSE
Puget Sound,854,13,0,0,0,NA,FALSE
Puget Sound,860,869.5,0.009392371094498754,8.166666666666666,0,0,TRUE
Puget Sound,866,52.333333333333336,0,0,0,NA,FALSE
Puget Sound,872,798.1666666666666,0,0,0,NA,FALSE
Puget Sound,884,110.5,0,0,0,NA,FALSE
Unknown,192,2749.5,0.004849366551494211,13.333333333333334,18,1.3499999999999999,FALSE
