catch_area_code,river_label,reason,verified_by,verified_date,notes
710,California Creek,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
718,Clallam River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
724,Dakota Creek,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
726,Deep Creek (Clallam Co),not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
754,Kennedy Creek,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
768,Lyre River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
810,Pysht River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
814,Salt Creek (Clallam Co),not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
818,Sekiu River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
828,Sauk River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
834,Skokomish River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
840,Pilchuck River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
854,Sultan River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
858,Tolt River,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
866,Canyon Creek (Snohomish Co),not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
311,Cedar Creek (Jefferson Co),not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
345,Goodman Creek,not_open_for_salmon,Evan Booher,8/31/2026,starting batch - out of scope for this data request
418,Sooes River,not_open_for_salmon,Evan Booher,8/31/2026,added to closed-areas list
824,Baker River,not_open_for_salmon,Evan Booher,8/31/2026,"Baker River (824) only, not Baker Lake (825) - the two are combined under the ""Baker"" river_label but 825 has its own salmon fishery and is not in scope for this closure. 824's current P2/P3 estimates are already near-zero (0/0/191/0 trips 2022-2025)."
